Geography,Ratio
British Columbia,0.966245505
Canal Flats,1.090909091
Castlegar,0.950877193
Central Kootenay,0.990922121
Central Kootenay A,1.0456621
Central Kootenay B,0.997920998
Central Kootenay C,1.077464789
Central Kootenay D,1.078014184
Central Kootenay E,1.088235294
Central Kootenay F,1.007317073
Central Kootenay G,1.075471698
Central Kootenay H,1.117647059
Central Kootenay I,1.05511811
Central Kootenay J,1.067647059
Central Kootenay K,1.045977011
Columbia-Shuswap,0.999474053
Columbia-Shuswap A,1.117834395
Columbia-Shuswap B,1.163934426
Cranbrook,0.95610687
Creston,0.875630252
East Kootenay,1.003648525
East Kootenay A,1.137142857
East Kootenay B,1.104712042
East Kootenay C,1.05015674
East Kootenay E,1.086419753
East Kootenay F,1.037681159
East Kootenay G,1.055900621
Elkford,1.1484375
Fernie,0.985849057
Fraser-Fort George,1.009011809
Fraser-Fort George H,1.038461538
Fruitvale,0.974874372
Golden,1.02284264
Grand Forks,0.929577465
Greenwood,1.136363636
Invermere,0.933333333
Kaslo,0.944444444
Kimberley,0.972053463
Kootenay Boundary,0.999095568
Kootenay Boundary A,1.056962025
Kootenay Boundary B,1.028571429
Kootenay Boundary C,0.993865031
Kootenay Boundary D,1.041139241
Kootenay Boundary E,1.097902098
Midway,1.03125
Montrose,1.04040404
Nakusp,0.892857143
Nelson,0.927146574
New Denver,0.796296296
Radium Hot Springs,0.977777778
Revelstoke,1.044444444
Rossland,1.036945813
Salmo,0.940677966
Silverton,1.071428571
Slocan,1.054054054
Sparwood,1.067331671
Trail,0.931707317
Valemount,0.981132075
Warfield,1.005714286
