Cohort,Geography,Gender,Percentage
Children (0-14),British Columbia,Men+,-7.4%
Emerging Labour Force (15-24),British Columbia,Men+,-5.7%
Primary Labour Force (25-64),British Columbia,Men+,-26.6%
Seniors (65+),British Columbia,Men+,-9.5%
Children (0-14),Canal Flats,Men+,-9.4%
Emerging Labour Force (15-24),Canal Flats,Men+,-4.4%
Primary Labour Force (25-64),Canal Flats,Men+,-26.9%
Seniors (65+),Canal Flats,Men+,-11.9%
Children (0-14),Castlegar,Men+,-7.4%
Emerging Labour Force (15-24),Castlegar,Men+,-5.1%
Primary Labour Force (25-64),Castlegar,Men+,-24.9%
Seniors (65+),Castlegar,Men+,-11.3%
Children (0-14),Central Kootenay,Men+,-6.9%
Emerging Labour Force (15-24),Central Kootenay,Men+,-4.4%
Primary Labour Force (25-64),Central Kootenay,Men+,-25.3%
Seniors (65+),Central Kootenay,Men+,-13.1%
Children (0-14),Central Kootenay A,Men+,-4.3%
Emerging Labour Force (15-24),Central Kootenay A,Men+,-2.9%
Primary Labour Force (25-64),Central Kootenay A,Men+,-24.8%
Seniors (65+),Central Kootenay A,Men+,-19.7%
Children (0-14),Central Kootenay B,Men+,-7.7%
Emerging Labour Force (15-24),Central Kootenay B,Men+,-5.3%
Primary Labour Force (25-64),Central Kootenay B,Men+,-22.2%
Seniors (65+),Central Kootenay B,Men+,-14.8%
Children (0-14),Central Kootenay C,Men+,-6.8%
Emerging Labour Force (15-24),Central Kootenay C,Men+,-3.4%
Primary Labour Force (25-64),Central Kootenay C,Men+,-23.3%
Seniors (65+),Central Kootenay C,Men+,-18.2%
Children (0-14),Central Kootenay D,Men+,-5.1%
Emerging Labour Force (15-24),Central Kootenay D,Men+,-3.4%
Primary Labour Force (25-64),Central Kootenay D,Men+,-26.4%
Seniors (65+),Central Kootenay D,Men+,-17.1%
Children (0-14),Central Kootenay E,Men+,-6.9%
Emerging Labour Force (15-24),Central Kootenay E,Men+,-4.1%
Primary Labour Force (25-64),Central Kootenay E,Men+,-26.5%
Seniors (65+),Central Kootenay E,Men+,-14.6%
Children (0-14),Central Kootenay F,Men+,-7.8%
Emerging Labour Force (15-24),Central Kootenay F,Men+,-4.1%
Primary Labour Force (25-64),Central Kootenay F,Men+,-26.4%
Seniors (65+),Central Kootenay F,Men+,-11.5%
Children (0-14),Central Kootenay G,Men+,-6.7%
Emerging Labour Force (15-24),Central Kootenay G,Men+,-4.0%
Primary Labour Force (25-64),Central Kootenay G,Men+,-30.7%
Seniors (65+),Central Kootenay G,Men+,-10.0%
Children (0-14),Central Kootenay H,Men+,-8.4%
Emerging Labour Force (15-24),Central Kootenay H,Men+,-4.2%
Primary Labour Force (25-64),Central Kootenay H,Men+,-28.5%
Seniors (65+),Central Kootenay H,Men+,-12.0%
Children (0-14),Central Kootenay I,Men+,-6.7%
Emerging Labour Force (15-24),Central Kootenay I,Men+,-4.6%
Primary Labour Force (25-64),Central Kootenay I,Men+,-29.0%
Seniors (65+),Central Kootenay I,Men+,-11.2%
Children (0-14),Central Kootenay J,Men+,-8.1%
Emerging Labour Force (15-24),Central Kootenay J,Men+,-5.4%
Primary Labour Force (25-64),Central Kootenay J,Men+,-27.6%
Seniors (65+),Central Kootenay J,Men+,-10.6%
Children (0-14),Central Kootenay K,Men+,-4.8%
Emerging Labour Force (15-24),Central Kootenay K,Men+,-2.8%
Primary Labour Force (25-64),Central Kootenay K,Men+,-23.3%
Seniors (65+),Central Kootenay K,Men+,-19.4%
Children (0-14),Columbia-Shuswap,Men+,-7.1%
Emerging Labour Force (15-24),Columbia-Shuswap,Men+,-4.1%
Primary Labour Force (25-64),Columbia-Shuswap,Men+,-25.6%
Seniors (65+),Columbia-Shuswap,Men+,-13.1%
Children (0-14),Columbia-Shuswap A,Men+,-6.8%
Emerging Labour Force (15-24),Columbia-Shuswap A,Men+,-3.2%
Primary Labour Force (25-64),Columbia-Shuswap A,Men+,-32.1%
Seniors (65+),Columbia-Shuswap A,Men+,-11.0%
Children (0-14),Columbia-Shuswap B,Men+,-5.3%
Emerging Labour Force (15-24),Columbia-Shuswap B,Men+,-3.0%
Primary Labour Force (25-64),Columbia-Shuswap B,Men+,-32.6%
Seniors (65+),Columbia-Shuswap B,Men+,-14.4%
Children (0-14),Cranbrook,Men+,-7.5%
Emerging Labour Force (15-24),Cranbrook,Men+,-5.6%
Primary Labour Force (25-64),Cranbrook,Men+,-25.0%
Seniors (65+),Cranbrook,Men+,-10.8%
Children (0-14),Creston,Men+,-5.6%
Emerging Labour Force (15-24),Creston,Men+,-4.0%
Primary Labour Force (25-64),Creston,Men+,-19.6%
Seniors (65+),Creston,Men+,-17.4%
Children (0-14),East Kootenay,Men+,-8.0%
Emerging Labour Force (15-24),East Kootenay,Men+,-4.9%
Primary Labour Force (25-64),East Kootenay,Men+,-26.3%
Seniors (65+),East Kootenay,Men+,-10.9%
Children (0-14),East Kootenay A,Men+,-9.3%
Emerging Labour Force (15-24),East Kootenay A,Men+,-4.5%
Primary Labour Force (25-64),East Kootenay A,Men+,-29.3%
Seniors (65+),East Kootenay A,Men+,-10.1%
Children (0-14),East Kootenay B,Men+,-6.5%
Emerging Labour Force (15-24),East Kootenay B,Men+,-5.5%
Primary Labour Force (25-64),East Kootenay B,Men+,-26.8%
Seniors (65+),East Kootenay B,Men+,-14.0%
Children (0-14),East Kootenay C,Men+,-7.7%
Emerging Labour Force (15-24),East Kootenay C,Men+,-5.2%
Primary Labour Force (25-64),East Kootenay C,Men+,-26.0%
Seniors (65+),East Kootenay C,Men+,-12.2%
Children (0-14),East Kootenay E,Men+,-6.0%
Emerging Labour Force (15-24),East Kootenay E,Men+,-3.9%
Primary Labour Force (25-64),East Kootenay E,Men+,-26.5%
Seniors (65+),East Kootenay E,Men+,-16.1%
Children (0-14),East Kootenay F,Men+,-5.7%
Emerging Labour Force (15-24),East Kootenay F,Men+,-4.4%
Primary Labour Force (25-64),East Kootenay F,Men+,-24.6%
Seniors (65+),East Kootenay F,Men+,-16.5%
Children (0-14),East Kootenay G,Men+,-7.5%
Emerging Labour Force (15-24),East Kootenay G,Men+,-3.0%
Primary Labour Force (25-64),East Kootenay G,Men+,-27.4%
Seniors (65+),East Kootenay G,Men+,-13.0%
Children (0-14),Elkford,Men+,-12.0%
Emerging Labour Force (15-24),Elkford,Men+,-4.9%
Primary Labour Force (25-64),Elkford,Men+,-29.6%
Seniors (65+),Elkford,Men+,-6.7%
Children (0-14),Fernie,Men+,-8.6%
Emerging Labour Force (15-24),Fernie,Men+,-4.0%
Primary Labour Force (25-64),Fernie,Men+,-30.0%
Seniors (65+),Fernie,Men+,-7.0%
Children (0-14),Fraser-Fort George,Men+,-8.6%
Emerging Labour Force (15-24),Fraser-Fort George,Men+,-6.3%
Primary Labour Force (25-64),Fraser-Fort George,Men+,-27.3%
Seniors (65+),Fraser-Fort George,Men+,-8.1%
Children (0-14),Fraser-Fort George H,Men+,-7.5%
Emerging Labour Force (15-24),Fraser-Fort George H,Men+,-3.4%
Primary Labour Force (25-64),Fraser-Fort George H,Men+,-25.4%
Seniors (65+),Fraser-Fort George H,Men+,-15.0%
Children (0-14),Fruitvale,Men+,-6.8%
Emerging Labour Force (15-24),Fruitvale,Men+,-4.3%
Primary Labour Force (25-64),Fruitvale,Men+,-25.3%
Seniors (65+),Fruitvale,Men+,-12.9%
Children (0-14),Golden,Men+,-8.0%
Emerging Labour Force (15-24),Golden,Men+,-5.1%
Primary Labour Force (25-64),Golden,Men+,-29.6%
Seniors (65+),Golden,Men+,-7.5%
Children (0-14),Grand Forks,Men+,-6.3%
Emerging Labour Force (15-24),Grand Forks,Men+,-4.4%
Primary Labour Force (25-64),Grand Forks,Men+,-21.8%
Seniors (65+),Grand Forks,Men+,-15.9%
Children (0-14),Greenwood,Men+,-4.9%
Emerging Labour Force (15-24),Greenwood,Men+,-4.2%
Primary Labour Force (25-64),Greenwood,Men+,-21.8%
Seniors (65+),Greenwood,Men+,-22.5%
Children (0-14),Invermere,Men+,-8.5%
Emerging Labour Force (15-24),Invermere,Men+,-5.2%
Primary Labour Force (25-64),Invermere,Men+,-23.7%
Seniors (65+),Invermere,Men+,-11.0%
Children (0-14),Kaslo,Men+,-6.7%
Emerging Labour Force (15-24),Kaslo,Men+,-3.3%
Primary Labour Force (25-64),Kaslo,Men+,-21.9%
Seniors (65+),Kaslo,Men+,-17.6%
Children (0-14),Kimberley,Men+,-8.3%
Emerging Labour Force (15-24),Kimberley,Men+,-4.3%
Primary Labour Force (25-64),Kimberley,Men+,-25.1%
Seniors (65+),Kimberley,Men+,-11.5%
Children (0-14),Kootenay Boundary,Men+,-6.8%
Emerging Labour Force (15-24),Kootenay Boundary,Men+,-4.4%
Primary Labour Force (25-64),Kootenay Boundary,Men+,-25.2%
Seniors (65+),Kootenay Boundary,Men+,-13.5%
Children (0-14),Kootenay Boundary A,Men+,-6.8%
Emerging Labour Force (15-24),Kootenay Boundary A,Men+,-4.3%
Primary Labour Force (25-64),Kootenay Boundary A,Men+,-28.1%
Seniors (65+),Kootenay Boundary A,Men+,-12.0%
Children (0-14),Kootenay Boundary B,Men+,-5.3%
Emerging Labour Force (15-24),Kootenay Boundary B,Men+,-2.8%
Primary Labour Force (25-64),Kootenay Boundary B,Men+,-27.7%
Seniors (65+),Kootenay Boundary B,Men+,-14.5%
Children (0-14),Kootenay Boundary C,Men+,-4.6%
Emerging Labour Force (15-24),Kootenay Boundary C,Men+,-3.4%
Primary Labour Force (25-64),Kootenay Boundary C,Men+,-23.4%
Seniors (65+),Kootenay Boundary C,Men+,-18.8%
Children (0-14),Kootenay Boundary D,Men+,-6.4%
Emerging Labour Force (15-24),Kootenay Boundary D,Men+,-3.6%
Primary Labour Force (25-64),Kootenay Boundary D,Men+,-24.3%
Seniors (65+),Kootenay Boundary D,Men+,-17.3%
Children (0-14),Kootenay Boundary E,Men+,-6.5%
Emerging Labour Force (15-24),Kootenay Boundary E,Men+,-4.5%
Primary Labour Force (25-64),Kootenay Boundary E,Men+,-27.6%
Seniors (65+),Kootenay Boundary E,Men+,-13.6%
Children (0-14),Midway,Men+,-3.0%
Emerging Labour Force (15-24),Midway,Men+,-4.5%
Primary Labour Force (25-64),Midway,Men+,-21.1%
Seniors (65+),Midway,Men+,-22.6%
Children (0-14),Montrose,Men+,-9.9%
Emerging Labour Force (15-24),Montrose,Men+,-5.0%
Primary Labour Force (25-64),Montrose,Men+,-23.3%
Seniors (65+),Montrose,Men+,-12.4%
Children (0-14),Nakusp,Men+,-5.3%
Emerging Labour Force (15-24),Nakusp,Men+,-5.3%
Primary Labour Force (25-64),Nakusp,Men+,-21.3%
Seniors (65+),Nakusp,Men+,-15.3%
Children (0-14),Nelson,Men+,-7.0%
Emerging Labour Force (15-24),Nelson,Men+,-5.0%
Primary Labour Force (25-64),Nelson,Men+,-27.2%
Seniors (65+),Nelson,Men+,-8.9%
Children (0-14),New Denver,Men+,-5.2%
Emerging Labour Force (15-24),New Denver,Men+,-1.0%
Primary Labour Force (25-64),New Denver,Men+,-18.8%
Seniors (65+),New Denver,Men+,-18.8%
Children (0-14),Radium Hot Springs,Men+,-4.1%
Emerging Labour Force (15-24),Radium Hot Springs,Men+,-3.4%
Primary Labour Force (25-64),Radium Hot Springs,Men+,-28.4%
Seniors (65+),Radium Hot Springs,Men+,-13.4%
Children (0-14),Revelstoke,Men+,-8.0%
Emerging Labour Force (15-24),Revelstoke,Men+,-4.5%
Primary Labour Force (25-64),Revelstoke,Men+,-31.9%
Seniors (65+),Revelstoke,Men+,-6.5%
Children (0-14),Rossland,Men+,-9.3%
Emerging Labour Force (15-24),Rossland,Men+,-4.6%
Primary Labour Force (25-64),Rossland,Men+,-28.7%
Seniors (65+),Rossland,Men+,-8.1%
Children (0-14),Salmo,Men+,-6.6%
Emerging Labour Force (15-24),Salmo,Men+,-3.1%
Primary Labour Force (25-64),Salmo,Men+,-24.5%
Seniors (65+),Salmo,Men+,-14.0%
Children (0-14),Silverton,Men+,0.0%
Emerging Labour Force (15-24),Silverton,Men+,-6.3%
Primary Labour Force (25-64),Silverton,Men+,-9.4%
Seniors (65+),Silverton,Men+,-21.9%
Children (0-14),Slocan,Men+,-10.5%
Emerging Labour Force (15-24),Slocan,Men+,-3.9%
