Geography,Gender,Marital Status,Percent
British Columbia,Men+,Married,0.236967726
Central Kootenay,Men+,Married,0.222726431
Columbia-Shuswap,Men+,Married,0.246388606
East Kootenay,Men+,Married,0.244176635
Fraser-Fort George,Men+,Married,0.216052061
Kootenay Boundary,Men+,Married,0.231944444
Canal Flats,Men+,Married,0.242647059
Castlegar,Men+,Married,0.220815752
Cranbrook,Men+,Married,0.229845626
Creston,Men+,Married,0.241869919
Columbia-Shuswap A,Men+,Married,0.233043478
Columbia-Shuswap B,Men+,Married,0.230769231
Elkford,Men+,Married,0.25
Fernie,Men+,Married,0.231285988
Fruitvale,Men+,Married,0.24852071
Golden,Men+,Married,0.207462687
Grand Forks,Men+,Married,0.21399177
Greenwood,Men+,Married,0.196850394
Invermere,Men+,Married,0.226788432
Kaslo,Men+,Married,0.213903743
Kimberley,Men+,Married,0.241328413
Midway,Men+,Married,0.25
Montrose,Men+,Married,0.277108434
Nakusp,Men+,Married,0.227758007
Nelson,Men+,Married,0.171548117
New Denver,Men+,Married,0.179775281
Radium Hot Springs,Men+,Married,0.255230126
Central Kootenay A,Men+,Married,0.275184275
Central Kootenay B,Men+,Married,0.266009852
Central Kootenay C,Men+,Married,0.28125
Central Kootenay D,Men+,Married,0.20610687
Central Kootenay E,Men+,Married,0.225806452
Central Kootenay F,Men+,Married,0.249279539
Central Kootenay G,Men+,Married,0.202166065
Central Kootenay H,Men+,Married,0.204889406
Central Kootenay I,Men+,Married,0.230941704
Central Kootenay J,Men+,Married,0.245
Central Kootenay K,Men+,Married,0.265432099
East Kootenay A,Men+,Married,0.258064516
East Kootenay B,Men+,Married,0.282420749
East Kootenay C,Men+,Married,0.280036134
East Kootenay E,Men+,Married,0.265100671
East Kootenay F,Men+,Married,0.284345048
East Kootenay G,Men+,Married,0.245614035
Fraser-Fort George H,Men+,Married,0.272058824
Kootenay Boundary A,Men+,Married,0.272401434
Kootenay Boundary B,Men+,Married,0.268774704
Kootenay Boundary C,Men+,Married,0.263513514
Kootenay Boundary D,Men+,Married,0.263986014
Kootenay Boundary E,Men+,Married,0.226235741
Revelstoke,Men+,Married,0.191977077
Rossland,Men+,Married,0.234513274
Salmo,Men+,Married,0.193877551
Silverton,Men+,Married,0.285714286
Slocan,Men+,Married,0.158730159
Sparwood,Men+,Married,0.2413273
Trail,Men+,Married,0.198694706
Valemount,Men+,Married,0.179775281
Warfield,Men+,Married,0.228956229
