Cohort,Geography,Gender,Percentage,,
0 to 4 years,British Columbia,Men+,-2.2%,,
5 to 9 years,British Columbia,Men+,-2.5%,,
10 to 14 years,British Columbia,Men+,-2.6%,,
15 to 19 years,British Columbia,Men+,-2.6%,,
20 to 24 years,British Columbia,Men+,-3.0%,,
25 to 29 years,British Columbia,Men+,-3.4%,,
30 to 34 years,British Columbia,Men+,-3.6%,,
35 to 39 years,British Columbia,Men+,-3.5%,,
40 to 44 years,British Columbia,Men+,-3.1%,,
45 to 49 years,British Columbia,Men+,-3.0%,,
50 to 54 years,British Columbia,Men+,-3.2%,,
55 to 59 years,British Columbia,Men+,-3.4%,,
60 to 64 years,British Columbia,Men+,-3.4%,,
65 to 69 years,British Columbia,Men+,-3.1%,,
70 to 74 years,British Columbia,Men+,-2.6%,,
75 to 79 years,British Columbia,Men+,-1.7%,,
80 to 84 years,British Columbia,Men+,-1.1%,,
85 to 89 years,British Columbia,Men+,-0.6%,,
90 to 94 years,British Columbia,Men+,-0.3%,,
95 to 99 years,British Columbia,Men+,-0.1%,,
100 years and over,British Columbia,Men+,0.0%,,
0 to 4 years,Canal Flats,Men+,-1.9%,,
5 to 9 years,Canal Flats,Men+,-4.4%,,
10 to 14 years,Canal Flats,Men+,-3.1%,,
15 to 19 years,Canal Flats,Men+,-2.5%,,
20 to 24 years,Canal Flats,Men+,-1.9%,,
25 to 29 years,Canal Flats,Men+,-1.3%,,
30 to 34 years,Canal Flats,Men+,-2.5%,,
35 to 39 years,Canal Flats,Men+,-3.8%,,
40 to 44 years,Canal Flats,Men+,-2.5%,,
45 to 49 years,Canal Flats,Men+,-4.4%,,
50 to 54 years,Canal Flats,Men+,-3.1%,,
55 to 59 years,Canal Flats,Men+,-3.8%,,
60 to 64 years,Canal Flats,Men+,-5.6%,,
65 to 69 years,Canal Flats,Men+,-3.8%,,
70 to 74 years,Canal Flats,Men+,-3.8%,,
75 to 79 years,Canal Flats,Men+,-1.9%,,
80 to 84 years,Canal Flats,Men+,-1.9%,,
85 to 89 years,Canal Flats,Men+,-0.6%,,
90 to 94 years,Canal Flats,Men+,0.0%,,
95 to 99 years,Canal Flats,Men+,0.0%,,
100 years and over,Canal Flats,Men+,0.0%,,
0 to 4 years,Castlegar,Men+,-2.2%,,
5 to 9 years,Castlegar,Men+,-2.6%,,
10 to 14 years,Castlegar,Men+,-2.6%,,
15 to 19 years,Castlegar,Men+,-2.7%,,
20 to 24 years,Castlegar,Men+,-2.4%,,
25 to 29 years,Castlegar,Men+,-2.7%,,
30 to 34 years,Castlegar,Men+,-2.9%,,
