Geography,2011,2016,2021,Percent Change (2011 to 2021)
British Columbia,4400057,4648055,5000879,13.7%
Canal Flats,715,668,802,12.2%
Castlegar,7816,8039,8338,6.7%
Central Kootenay,58441,59517,62509,7.0%
Central Kootenay A,2030,1930,2241,10.4%
Central Kootenay B,4464,4657,4802,7.6%
Central Kootenay C,1372,1472,1475,7.5%
Central Kootenay D,1408,1343,1462,3.8%
Central Kootenay E,3781,3772,3897,3.1%
Central Kootenay F,3976,3963,4116,3.5%
Central Kootenay G,1597,1623,1650,3.3%
Central Kootenay H,4289,4655,5045,17.6%
Central Kootenay I,2570,2534,2607,1.4%
Central Kootenay J,2996,3137,3517,17.4%
Central Kootenay K,1759,1681,1784,1.4%
Columbia-Shuswap,50512,51366,57021,12.9%
Columbia-Shuswap A,3065,3148,3325,8.5%
Columbia-Shuswap B,552,583,663,20.1%
Cranbrook,19319,20047,20499,6.1%
Creston,5306,5361,5583,5.2%
East Kootenay,56685,60439,65896,16.2%
East Kootenay A,1899,1683,1875,-1.3%
East Kootenay B,1746,1976,2011,15.2%
East Kootenay C,5713,6021,6536,14.4%
East Kootenay E,1634,1753,1686,3.2%
East Kootenay F,2635,2726,3521,33.6%
East Kootenay G,1412,1467,1654,17.1%
Elkford,2523,2499,2749,9.0%
Fernie,4448,5396,6320,42.1%
Fraser-Fort George,91879,94506,96979,5.6%
Fraser-Fort George H,1665,1586,1589,-4.6%
Fruitvale,2011,1920,1958,-2.6%
Golden,3701,3708,3986,7.7%
Grand Forks,3985,4049,4112,3.2%
Greenwood,708,665,702,-0.8%
Invermere,2955,3391,3917,32.6%
Kaslo,1031,968,1049,1.7%
Kimberley,6652,7425,8115,22.0%
Kootenay Boundary,31138,31447,33152,6.5%
Kootenay Boundary A,1850,1891,1624,-12.2%
Kootenay Boundary B,1395,1442,1422,1.9%
Kootenay Boundary C,1391,1337,1627,17.0%
Kootenay Boundary D,3187,3225,3226,1.2%
Kootenay Boundary E,1970,2155,3004,52.5%
Midway,674,649,651,-3.4%
Montrose,1030,996,1013,-1.7%
Nakusp,1569,1605,1589,1.3%
Nelson,10230,10572,11106,8.6%
New Denver,504,473,487,-3.4%
Radium Hot Springs,777,776,1339,72.3%
Revelstoke,7139,7562,8275,15.9%
Rossland,3556,3729,4140,16.4%
Salmo,1139,1141,1140,0.1%
Silverton,195,195,149,-23.6%
Slocan,296,289,379,28.0%
Sparwood,3667,3784,4148,13.1%
Trail,7681,7709,7920,3.1%
Valemount,1020,1021,1052,3.1%
Warfield,1700,1680,1753,3.1%
